"Name","Source","Type","Rarity","Attunement","Price","Price band","Price Source","Review flag(s)","Prose","Criteria highlights","5e.tools link"
"Cap of Water Breathing","Dungeon Master's Guide (2024)","Wondrous Item","Uncommon","No","583 gp","466 gp / 583 gp / 700 gp","Amalgamated (MSRP,DMPG)","random","While wearing this cap underwater, you can take a Magic action to create a bubble of air around your head. This bubble allows you to breathe normally underwater. This bubble stays with you until the cap is removed or you are no longer underwater.","is_wondrous 1, extra_damage_multiplier 1","https://5e.tools/items.html#cap%20of%20water%20breathing_xdmg"
"Carnelian","Dungeon Master's Guide (2024)","$G","Mundane","No","50 gp","40 gp / 50 gp / 60 gp","Official","floor-tripwire","A orange to red brown gemstone.","extra_damage_multiplier 1","https://5e.tools/items.html#carnelian_xdmg"
"Carrion Crawler Mucus","Dungeon Master's Guide (2024)","Adventuring Gear","Mundane","No","200 gp","160 gp / 200 gp / 240 gp","Official","floor-tripwire","A creature subjected to Carrion Crawler Mucus must succeed on a DC 13 Constitution saving throw or have the Poisoned condition for 1 minute. The creature also has the Paralyzed condition while Poisoned in this way. The creature repeats the save at the end of each of its turns, ending the effect on itself on a success.","save_dc 13, is_poison 1, extra_damage_multiplier 1","https://5e.tools/items.html#carrion%20crawler%20mucus_xdmg"
"Chain Shirt","Player's Handbook (2024)","Medium Armor","Mundane","No","50 gp","40 gp / 50 gp / 60 gp","Official","floor-tripwire","—","armor_ac 13, extra_damage_multiplier 1","https://5e.tools/items.html#chain%20shirt_xphb"
"Chain Shirt Barding","Player's Handbook","Tack & Harness","Mundane","No","200 gp","160 gp / 200 gp / 240 gp","Official","floor-tripwire","Barding is armor designed to protect an animal's head, neck, chest, and body. Any type of armor shown on the Armor table in this chapter can be purchased as barding. The cost is four times the equivalent armor made for humanoids, and it weighs twice as much.","armor_ac 13, extra_damage_multiplier 1","https://5e.tools/items.html#chain%20shirt%20barding_phb"
"Chalcedony","Dungeon Master's Guide (2024)","$G","Mundane","No","50 gp","40 gp / 50 gp / 60 gp","Official","floor-tripwire","A white gemstone.","extra_damage_multiplier 1","https://5e.tools/items.html#chalcedony_xdmg"
"Champion's Musket","Monsters of Drakkenheim","Ranged Weapon","Uncommon","No","1,000 gp","800 gp / 1,000 gp / 1,200 gp","Algorithm","floor-tripwire","*The *base item* can be found in The Gunslinger Class: Valda’s Spire of Secrets.*

Attack rolls made using this magic weapon can score a Critical Hit on a roll of 19 or 20 on the d20.

***Crafting.*** Creating a Champion's Weapon requires an Uncommon Workshop and the following Uncommon Components:

- **[Animus]** Any
- **[Bones]** Bones
- **[Fluid]** Sap
- **[Hide]** Plates

***Range.*** A Range weapon has a range in parentheses after the Ammunition or Thrown property. The range lists two numbers. The first is the weapon's normal range in feet, and the second is the weapon's long range. When attacking a target beyond normal range, you have Disadvantage on the attack roll. You can't attack a target beyond the long range.

***Ammunition.*** You can use a weapon that has the Ammunition property to make a ranged attack only if you have ammunition to fire from it. The type of ammunition required is specified with the weapon's range. Each attack expends one piece of ammunition. Drawing the ammunition is part of the attack (you need a free hand to load a one-handed weapon). After a fight, you can spend 1 minute to recover half the ammunition (round down) you used in the fight; the rest is lost.

***Loading.*** You can fire only one piece of ammunition from a Loading weapon when you use an action, a Bonus Action, or a Reaction to fire it, regardless of the number of attacks you can normally make.

***Two-Handed.*** A Two-Handed weapon requires two hands when you attack with it.

***Mastery: Slow.*** If you hit a creature with this weapon and deal damage to it, you can reduce its Speed by 10 feet until the start of your next turn. If the creature is hit more than once by weapons that have this property, the Speed reduction doesn't exceed 10 feet.","is_firearm 1, extra_damage_multiplier 1","https://5e.tools/items.html#champion's%20musket_monstersofdrakkenheim"
"Chrysoprase","Dungeon Master's Guide (2024)","$G","Mundane","No","50 gp","40 gp / 50 gp / 60 gp","Official","floor-tripwire","A green gemstone.","extra_damage_multiplier 1","https://5e.tools/items.html#chrysoprase_xdmg"
"Circlet of Valor","Monsters of Drakkenheim","Wondrous Item","Rare","Yes","3,175 gp","2,540 gp / 3,175 gp / 3,810 gp","Algorithm","random","This steel circlet is forged from a construct and set with a gemstone animus containing a fiend. After being cleansed in the fires of a dragon's breath, this holy circlet glimmers with radiant energy.

When you cast a spell of level 1 or higher that restores Hit Points to a creature, that creature gains Valor (1d4) until the end of its next turn.

***Crafting.*** Creating a Circlet of Valor requires a Rare Workshop and the following Rare Components:

- **[Animus]** Animus from a Fiend
- **[Dust]** Any Dust
- **[Hide]** Plates from a Construct
- **[Organ]** Glands from a Dragon","is_wondrous 1, extra_damage_multiplier 1","https://5e.tools/items.html#circlet%20of%20valor_monstersofdrakkenheim"
"Circlet of Wisdom","Tal'Dorei Campaign Setting Reborn","Wondrous Item","Unknown Magic","No","289 gp","231 gp / 289 gp / 346 gp","Algorithm","random","Worn by {@creature Keyleth, Voice of the Tempest, increases her Wisdom score by +2.}","is_wondrous 1, extra_damage_multiplier 1","https://5e.tools/items.html#circlet%20of%20wisdom_taldoreicampaignsettingreborn"
"Citrine","Dungeon Master's Guide (2024)","$G","Mundane","No","50 gp","40 gp / 50 gp / 60 gp","Official","floor-tripwire","A pale yellow brown gemstone.","extra_damage_multiplier 1","https://5e.tools/items.html#citrine_xdmg"
"Cleaning Cube","The Griffon's Saddlebag: Book Two","Wondrous Item","Common","No","526 gp","421 gp / 526 gp / 631 gp","Algorithm","ml-variance","This Tiny, sentient piece of an enchanted gelatinous cube is harmlessly soapy, instead of acidic, and enjoys cleaning the surfaces it travels across. When found, the cleaning cube is a dehydrated, 2-inch cube. While dehydrated, the cube is inanimate and its weight is negligible. You can place the dehydrated cube in 1 or more gallons of water as an action, causing it to animate and grow in size to become a 1-foot cube that weighs 6 pounds. The rehydrated cube moves slowly while animated in this way, methodically cleaning objects and surfaces it comes into contact with. The cube remains hydrated for up to 8 hours, but can be squeezed as an action (as if it were a sponge) to dehydrate it again early. The cleaning cube is considered a magical object and is not a creature. It has a speed of 1 foot and can climb difficult surfaces, including upside down on ceilings, without needing to make an ability check. It has AC 10, 10 hit points, and resistance to all damage. The cube dehydrates when it drops to 0 hit points, but regains all its hit points when hydrated again. The cleaning cube is a sentient unaligned item with an Intelligence of 1, a Wisdom of 6, and a Charisma of 1. It has hearing and blindsight out to a range of 60 feet. It can't speak or read, but obeys your commands as best as it can understand them. The cleaning cube is happiest finding and dissolving dirt and other grime, and enjoys the feeling of moving across clean, polished surfaces. It doesn't concern itself with combat, preferring to continue its cleaning instead of involving itself in confrontation. If the cube finds a stray coin, gemstone, or other similar small item out of place while it cleans, it will absorb and clean the item until it's removed by a creature as an action or until it becomes dehydrated once again.","is_sentient 1, is_wondrous 1, extra_damage_multiplier 1, blindsight 1","https://5e.tools/items.html#cleaning%20cube_griffonssaddlebag2"
"Cloak of Many Fashions","Dungeon Master's Guide (2024)","Wondrous Item","Common","No","105 gp","84 gp / 105 gp / 126 gp","Amalgamated (MSRP,DMPG)","random","While wearing this cloak, you can take a Bonus Action to change the style, color, and apparent quality of the garment. The cloak's weight doesn't change. Regardless of its appearance, the cloak can't be anything but a cloak. Although it can duplicate the appearance of other magic cloaks, it doesn't gain their magical properties.","is_wondrous 1, extra_damage_multiplier 1","https://5e.tools/items.html#cloak%20of%20many%20fashions_xdmg"
"Cloak of Passage","Exploring Eberron (2024)","Wondrous Item","Uncommon","No","4,441 gp","3,553 gp / 4,441 gp / 5,329 gp","Algorithm","reskin","*Requires the Mark of Passage*

This cape smells faintly of brimstone. While wearing it, you can use it to cast *Dimension Door* as a Magic action. This property can't be used again until the next dawn.

When you teleport with that spell, you leave behind a cloud of smoke. The space you left is Lightly Obscured by that smoke until the end of your next turn.
*Duplicated from *Cape of the Mountebank**","is_wondrous 1, extra_damage_multiplier 1, teleportation 1","https://5e.tools/items.html#cloak%20of%20passage_exploringeberron24"
"Cloak of Shadows","Exploring Eberron (2024)","Wondrous Item","Common","Yes","4,072 gp","3,257 gp / 4,072 gp / 4,886 gp","Algorithm","reskin","While you wear this cloak, Wisdom (Perception) checks made to perceive you have Disadvantage, and you have Advantage on Dexterity (Stealth) checks.
*Duplicated from *Cloak of Elvenkind**","is_wondrous 1, extra_damage_multiplier 1, stealth_advantage 1","https://5e.tools/items.html#cloak%20of%20shadows_exploringeberron24"
"Coin of Decisionry","Acquisitions Incorporated","Wondrous Item","Varies","No","750 gp","600 gp / 750 gp / 900 gp","Algorithm","random","Starting at rank 2, your coin of decisionry becomes a common magic item. When you flip the coin, it always lands with the Acquisitions Incorporated sigil face down, and a message appears on the ""tails"" face. Roll a d4 on the following table to determine the message.

|  d4 | Decision      |
|: :| |
|  1  | Lucrative     |
|  2  | Brand Appeal  |
|  3  | Indeterminate |
|  4  | Ruinous       |

The coin has absolutely no divination abilities, and its results when you use it are random. But nobody else knows that. When a creature within 10 feet of you flips the coin (after having had its powerful prognostication powers dutifully explained), you can exert your will to control its operation as a bonus action, choosing the result that appears after it lands as a means of gently coercing the user toward a specific course of action. The creature flipping the coin can detect your manipulation with a successful DC 13 Wisdom (Insight) check.

***Better Odds.*** When you reach rank 3, your coin of decisionry gains a measure of actual divination power and becomes an uncommon magic item. In addition to its normal function, you can use an action to flip the coin of decisionry twice while pondering a specific plan or objective, noting both random results. If you succeed on a DC 15 Intelligence (Arcana) check, you learn which of the two results is more applicable to the course of action. This property of the coin can't be used again until the next dawn.","save_dc 15, is_wondrous 1, extra_damage_multiplier 1","https://5e.tools/items.html#coin%20of%20decisionry_ai"
"Command Amulet","Monster Manual (2024)","Other","Unknown Magic","No","289 gp","231 gp / 289 gp / 346 gp","Algorithm","random","Each **Shield Guardian** is magically bound to an amulet. While the guardian and its amulet are on the same plane of existence, the amulet's wearer can telepathically call the guardian to travel to it, and the guardian knows the distance and direction to the amulet. If the guardian is within 60 feet of the amulet's wearer, half of any damage the wearer takes (round up) is transferred to the guardian.

A shield guardian's command amulet might be passed down through a magic-using society or family for generations.","extra_damage_multiplier 1","https://5e.tools/items.html#command%20amulet_xmm"
"Common Glamerweave","Eberron: Rising from the Last War","Wondrous Item","Common","No","97 gp","77 gp / 97 gp / 116 gp","Single source (DMPG)","random","Glamerweave is clothing imbued with harmless illusory magic. While wearing the common version of these clothes, you can use a bonus action to create a moving illusory pattern within the cloth.","is_wondrous 1, extra_damage_multiplier 1","https://5e.tools/items.html#common%20glamerweave_erlw"
"Concealed Blade","Grim Hollow: Player's Guide (2024)","AdvEq","Mundane","No","50 gp","40 gp / 50 gp / 60 gp","Official","floor-tripwire","A Concealed Blade is a Dagger built into a mechanism hidden within a bracer or gauntlet. When you roll Initiative, you can make a Dexterity (Deception) check opposed by others' Wisdom (Perception) checks. You have Advantage on the first attack made in the first round of combat against any enemy who failed their check.","extra_damage_multiplier 1","https://5e.tools/items.html#concealed%20blade_grimhollowpg24"
"Cottage Chest","The Griffon's Saddlebag: Book Two","Wondrous Item","Rare","No","45,000 gp","36,000 gp / 45,000 gp / 54,000 gp","Algorithm","battery-parity","This 1-foot-long chest looks like a replica of a woodland cottage and is magically locked. You can use an action to place this chest on the ground and speak its command word. The chest immediately unlocks and grows into a cottage that remains until you use an action to speak the command word that dismisses it, which works only if the cottage is empty. When dismissed, the cottage returns to its normal chest form. If there isn't enough space for the cottage or there are creatures in its area when you speak the command word, the chest remains locked and the action is wasted. The cottage is a wooden, two-story building that's 40 feet wide and 65 feet long. Inside is a kitchen, a dining room, and a large parlor with an ever-burning fire in its hearth. A curling stairway leads to the second floor, which has 4 bedrooms equipped with furniture you'd find in a modest to respectable inn. The first floor has six windows, and each bedroom on the second floor has one. When activated, the cottage has a small door on the side facing you. The door opens only at your command, which you can speak as a bonus action. It is immune to the knock spell and similar magic, such as that of a chime of opening. The cottage's kitchen is filled with magical utensils that automatically stir, measure, and heat all manner of cuisine. Any check made using cook's utensils within the cottage has advantage on the roll. When left to its own devices, the cottage magically produces an array of baked goods for up to 8 creatures when the cottage appears for the first time each day and again each day at dawn until it is dismissed. Eating the food within the cottage provides enough nourishment to sustain a creature for one day. If any baked goods are left uneaten, they vanish at dawn as the new goods appear. Any baked good, furniture, or similar object vanishes when taken outside the cottage and immediately reappears inside. Further, fey and fiends can't enter the cottage unless you choose to let them, and creatures can't move or travel into it using teleportation or by extradimensional or interplanar means. The cottage is made of wood and plaster, and its magic prevents it from being tipped over or moved. The roof, the door, and the walls (including the windows) each have 60 hit points, immunity to damage from nonmagical weapons excluding siege weapons, and resistance to all other damage. Only a wish spell can repair the cottage (this use of the spell counts as replicating a spell of 8th level or lower). Each casting of wish causes the roof, the door, or one wall to regain all its hit points.","spell_battery_max_level 8, is_wondrous 1, extra_damage_multiplier 1","https://5e.tools/items.html#cottage%20chest_griffonssaddlebag2"
"Couatl Herald's Mantle","The Griffon's Saddlebag: Book One","Wondrous Item","Uncommon","Yes","3,540 gp","2,832 gp / 3,540 gp / 4,248 gp","Algorithm","ml-variance","This magic cloak is given to those deemed kindhearted and responsible by a Celestial. While wearing the mantle, you have Advantage on saving throws to avoid or end the Poisoned condition and the effects of magical contagions. In addition, you are immune to any effect that would sense your emotions. While you're attuned to 3 items with this property, you gain a Fly Speed of 30 feet. If you already have a Fly Speed, it increases by 30 feet instead.","is_wondrous 1, extra_damage_multiplier 1, flight_full 1, save_advantage_category 1","https://5e.tools/items.html#couatl%20herald's%20mantle_24griffonssaddlebag1"
"Crog's Guide to Disarming Magic Traps","Where Evil Lives: The MCDM Book of Boss Battles","Adventuring Gear","Unknown","No","1.0 gp","80 cp / 1.0 gp / 1.2 gp","Algorithm","random","This book describes various mundane techniques and theories related to foiling magic traps. If you spend 48 hours studying this book, you learn how to overcome certain types of magic traps with your thieves' tools. If a trap's magic can be dispelled or suppressed by a dispel magic spell, you can make a Dexterity check using thieves' tools to achieve the same result. The DC of the Dexterity check is equal to 5 + the DC required to dispel or suppress the trap with dispel magic (minimum DC 18). On a failed check, the trap triggers.","save_dc 18, extra_damage_multiplier 1","https://5e.tools/items.html#crog's%20guide%20to%20disarming%20magic%20traps_whereevillives"
"Crown of Horns","Forgotten Realms: Adventures in Faerûn","Wondrous Item","Artifact","Yes","380,000 gp","304,000 gp / 380,000 gp / 456,000 gp","Algorithm","random","The Crown of Horns contains the essence and intelligence of Myrkul, one of the Dead Three. This ghastly crown is a pale silver circlet with four curved bones set around its rim. On the crown's brow is set a black diamond whose depths swirl with weird, malignant energy.

Myrkul created the Crown of Horns at the height of his power. When Myrkul was slain by Mystra, he imbued the crown with his dying essence. Myrkul has since returned to become one of the Dead Three, and the Crown of Horns continues to further his gruesome will by seeking out mortal agents and gradually transforming them into powerful Undead scions. Should a wearer prove unworthy of this honor, the crown teleports away to find a new mortal to corrupt for its master.

***Cursed.*** The crown is cursed. Attuning to the crown extends the curse to you. Only a *Wish* spell or the will of Myrkul can remove this curse. As long as you remain cursed, the following properties apply to you:

- **Bound.** You are unwilling to part with the crown, wearing it at all times, and you can't voluntarily end your Attunement to the crown.
- **Cruel.** Your alignment becomes Neutral Evil.
- **Doomed.** You slowly transform into a monstrous servant of Myrkul over the course of 365 days. During that time, the transformation is purely cosmetic; these cosmetic changes slowly fade if you end Attunement to the crown before completing the transformation. When the transformation is complete, you become a **Lich** under the DM's control. Each time you use this Artifact's Cone of Undeath or Myrkul's Hand benefit, there is a 10 percent cumulative chance that you instantly complete this transformation.

***Cone of Undeath.*** You can take a Magic action to unleash a wave of unholy light in a 60-foot Cone. Each creature in the Cone makes a DC 18 Constitution saving throw, taking (4d8) Necrotic damage on a failed save or half as much damage on a successful one. A Humanoid killed by Cone of Undeath rises at the start of your next turn as a **Specter** that follows your verbal orders.

***Damage Immunity.*** You have Immunity to Necrotic damage.

***Fear Aura.*** While wearing the crown, you emit an aura of terrifying energy in a 60-foot Emanation. A creature that enters this area for the first time on a turn or starts its turn there must succeed on a DC 16 Wisdom saving throw or have the Frightened condition. A Frightened target must use its movement on its turns to get as far away as possible from you, moving by the safest route.

If you damage a Frightened target or if a Frightened target ends its turn more than 120 feet away from you, the target can repeat the Wisdom save, ending the condition on itself on a success. A creature that succeeds on the save against this effect is immune to it for 1 minute, after which it can be affected again.

The aura is inactive while you have the Incapacitated condition. You can activate or deactivate the aura as a Bonus Action.

***Myrkul's Hand.*** While wearing the crown, you can cast the *Power Word Kill* spell (save DC 18) from it. A Humanoid killed by this spell rises at the start of your next turn as a **Wraith** that follows your verbal orders. Once you use the crown to cast this spell, you can't cast it again from the crown until the next dawn.

***Teleportation.*** While wearing the crown, you can cast the *Teleport* spell. The crown can also cast this spell of its own free will. Once the spell has been cast using the crown, it can't be cast again until 7 days have passed.

***Random Properties.*** The Artifact has the following random properties (see chapter 7 of the Dungeon Master's Guide):

- 1 minor beneficial property
- 1 minor detrimental property
- 1 major detrimental property

***Sentience.*** The Crown of Horns is a sentient Neutral Evil Artifact with an Intelligence of 10, a Wisdom of 16, and a Charisma of 19. It has hearing and Darkvision out to 120 feet.

The crown communicates telepathically with its wearer and knows Common.

***Personality.*** The crown contains the essence of Myrkul and exists to spread that god's will, which is to slay the living, raise the dead, and sow fear across the Material Plane. The crown urges its wearer to spread dread and destruction wherever possible.

***Destroying the Crown.*** The crown is destroyed if it is worn by Myrkul's successor, Kelemvor, while he sits on the throne of Myrkul's former realm, the Bone Castle.","darkvision_feet 120, save_dc 18, is_sentient 1, is_cursed 1, is_wondrous 1, extra_damage_multiplier 1","https://5e.tools/items.html#crown%20of%20horns_fraif"
"Crusader's Shortsword","Curse of Strahd","Melee Weapon","Uncommon","Yes","702 gp","562 gp / 702 gp / 843 gp","Algorithm","reskin","The Crusader's Shortsword is a sentient lawful good *+1 shortsword* (Intelligence 11, Wisdom 13, Charisma 13). It has hearing and normal vision out to a range of 120 feet. It communicates by transmitting emotion to the creature carrying or wielding it.

The sword's purpose is to fight evil. The sword has the following additional properties:

- The sword continually sheds bright light in a 15-foot radius and dim light for an additional 15 feet. Only by destroying the sword can this light be extinguished.
- A lawful good creature can attune itself to the sword in 1 minute.
- While attuned to the weapon, the sword's wielder can use the sword to cast the *crusader's mantle* spell. Once used, this property of the sword can't be used again until the next dawn.

***Finesse.*** When making an attack with a finesse weapon, you use your choice of your Strength or Dexterity modifier for the attack and damage rolls. You must use the same modifier for both rolls.

***Light.*** A light weapon is small and easy to handle, making it ideal for use when fighting with two weapons.","weapon_bonus 1, is_sentient 1, extra_damage_multiplier 1","https://5e.tools/items.html#crusader's%20shortsword_cos"
"Crystal","Monsters of Drakkenheim","Delerium","Mundane","No","1,000 gp","800 gp / 1,000 gp / 1,200 gp","Official","floor-tripwire","Delerium is a magical mineral left behind by the meteor that landed in Drakkenheim. It appears in geode clusters of translucent, sharp-edged crystals which reflect octarine light. The eldritch stones softly hum in dissonant tones, and glow brightly at night or when exposed to magic. Deposits are found throughout Drakkenheim, often fused into stone streets and buildings like crystalline moss.

A typical delerium fragment is about the size of a finger. Crystals may be fist-sized or slightly larger, and geodes may be as big as a pumpkin. Massive clusters might grow taller than a human.

##### Delerium Crystals
| Crystal Size      | Market Value |    Weight   | AC | HP | Extraction Time |
| -|: :|: --:| :| :|: :|
| *Chip*            |    10 gold   |   1/4 lbs   | 15 |  5 |     1 action    |
| *Fragment*        |   100 gold   |   1/2 lbs   | 17 | 10 |     1 minute    |
| *Shard*           |   500 gold   |    1 lbs    | 19 | 15 |    5 minutes    |
| *Crystal*         |  1,000 gold  |    2 lbs    | 21 | 20 |    30 minutes   |
| *Geode*           |  5,000 gold  |   20 lbs +  | 23 | 25 |      1 hour     |
| *Massive Cluster* |   Priceless  | 8,000 lbs + | 25 | 50 |      7 days     |

## Delerium Properties

All delerium samples have the following traits regardless of size:

- Immune to Necrotic, Poison, and Psychic damage; as well as Bludgeoning, Piercing, and Slashing damage from non-magical weapons.
- Resistant to Acid, Cold, Fire, and Lightning damage; as well as Slashing and Piercing damage from magical weapons.
- Vulnerable to Bludgeoning damage from magical weapons.
- Unless contained within an *Antimagic Field*, delerium shatters and crumbles into worthless ash when reduced to 0 Hit Points. However, delerium geodes release a random Arcane Anomalies when destroyed.","extra_damage_multiplier 1","https://5e.tools/items.html#crystal_monstersofdrakkenheim"
"Crystal Skull","Call from the Deep","Other","Unknown Magic","No","289 gp","231 gp / 289 gp / 346 gp","Algorithm","random","The skull can be used to cast the speak with dead spell once per day.","extra_damage_multiplier 1","https://5e.tools/items.html#crystal%20skull_callfromthedeep"
"Cursed Ring of Shooting Stars","Call from the Deep","Ring","Very Rare","Yes","15,940 gp","12,752 gp / 15,940 gp / 19,128 gp","Amalgamated (DSA,MSRP,DMPG)","random","While wearing this ring in dim light or darkness, you can cast dancing lights and light from the ring at will. Casting either spell from the ring requires an action. The ring has 6 charges for the following other properties. The ring regains 1d6 expended charges daily at dawn. You can expend 1 charge as an action to cast faerie fire from the ring. You can expend 2 charges as an action to create one to four 3-foot-diameter spheres of lightning. The more spheres you create, the less powerful each sphere is individually. Each sphere appears in an unoccupied space you can see within 120 feet of you. The spheres last as long as you concentrate (as if concentrating on a spell), up to 1 minute. Each sphere sheds dim light in a 30-foot radius. As a bonus action, you can move each sphere up to 30 feet, but no farther than 120 feet away from you. When a creature other than you comes within 5 feet of a sphere, the sphere discharges lightning at that creature and disappears. That creature must make a DC 15 Dexterity saving throw. On a failed save, the creature takes lightning damage based on the number of spheres you created. 4 2d4 3 2d6 2 5d4 1 4d12 You can expend 1 to 3 charges as an action. For every charge you expend, you launch a glowing mote of light from the ring at a point you can see within 60 feet of you. Each creature within a 15-foot cube originating from that point is showered in sparks and must make a DC 15 Dexterity saving throw, taking 5d4 fire damage on a failed save, or half as much damage on a successful one. This ring is cursed, a fact that is revealed only when an {@spell identify spell is cast on the ring or you attune to it. Attuning to ring curses you until you are targeted by the remove curse spell or similar magic; removing the ring fails to end the curse. While cursed you have vulnerability to psychic damage.|Any creature attuned to this ring gains vulnerability to psychic damage.}","save_dc 15, is_cursed 1, extra_damage_multiplier 1","https://5e.tools/items.html#cursed%20ring%20of%20shooting%20stars_callfromthedeep"
"Dagger of Guitar Solos","Waterdeep: Dungeon of the Mad Mage","Melee Weapon","Unknown Magic","No","750 gp","600 gp / 750 gp / 900 gp","Algorithm","random","This drow-made dagger is decorated with silver web filigree. It magically plays a fragment of a guitar solo when struck or used to strike a foe.

***Finesse.*** When making an attack with a finesse weapon, you use your choice of your Strength or Dexterity modifier for the attack and damage rolls. You must use the same modifier for both rolls.

***Light.*** A light weapon is small and easy to handle, making it ideal for use when fighting with two weapons.

***Thrown.*** If a weapon has the thrown property, you can throw the weapon to make a ranged attack. If the weapon is a melee weapon, you use the same ability modifier for that attack roll and damage roll that you would use for a melee attack with the weapon. For example, if you throw a handaxe, you use your Strength, but if you throw a dagger, you can use either your Strength or your Dexterity, since the dagger has the finesse property.","extra_damage_multiplier 1","https://5e.tools/items.html#dagger%20of%20guitar%20solos_wdmm"
"Dazzling Field Spear","Eberron: Forge of the Artificer","Melee Weapon","Rare","Yes","5,627 gp","4,501 gp / 5,627 gp / 6,752 gp","Algorithm","random","*The *base item* can be found in Obojima: Tales from the Tall Grass, page 159.*

This magic weapon grants a +1 bonus to attack and damage rolls made with it. While holding it, you can take a Bonus Action to cause it to shed Bright Light in a 30-foot radius and Dim Light for an additional 30 feet. You can extinguish the light as a Bonus Action.

The weapon has 4 charges. You can take a Reaction immediately after being hit by an attack roll to expend 1 of the weapon's charges and force the attacker to make a DC 15 Constitution saving throw. On a failed save, the attacker has the Blinded condition until the end of its next turn. The weapon regains 1d4 expended charges daily at dawn.

Also known as the merchant's blade, the field spear was proven a useful and sturdy tool by the hundreds of merchants and travelers that use it in their expeditions across the island. Its shorter haft is roughly half the size of a standard spear and its tip is more similar to a wide blade or dagger than the traditional spear tip.

***Finesse.*** When making an attack with a finesse weapon, you use your choice of your Strength or Dexterity modifier for the attack and damage rolls. You must use the same modifier for both rolls.

***Thrown.*** If a weapon has the thrown property, you can throw the weapon to make a ranged attack. If the weapon is a melee weapon, you use the same ability modifier for that attack roll and damage roll that you would use for a melee attack with the weapon. For example, if you throw a handaxe, you use your Strength, but if you throw a dagger, you can use either your Strength or your Dexterity, since the dagger has the finesse property.

***Versatile.*** This weapon can be used with one or two hands. A damage value in parentheses appears with the property—the damage when the weapon is used with two hands to make a melee attack.","save_dc 15, weapon_bonus 1, extra_damage_multiplier 1","https://5e.tools/items.html#dazzling%20field%20spear_efa"
"Dazzling War Pick","Eberron: Forge of the Artificer","Melee Weapon","Rare","Yes","5,845 gp","4,676 gp / 5,845 gp / 7,014 gp","Algorithm","random","This magic weapon grants a +1 bonus to attack and damage rolls made with it. While holding it, you can take a Bonus Action to cause it to shed Bright Light in a 30-foot radius and Dim Light for an additional 30 feet. You can extinguish the light as a Bonus Action.

The weapon has 4 charges. You can take a Reaction immediately after being hit by an attack roll to expend 1 of the weapon's charges and force the attacker to make a DC 15 Constitution saving throw. On a failed save, the attacker has the Blinded condition until the end of its next turn. The weapon regains 1d4 expended charges daily at dawn.

***Versatile.*** A Versatile weapon can be used with one or two hands. A damage value in parentheses appears with the property. The weapon deals that damage when used with two hands to make a melee attack.

***Mastery: Sap.*** If you hit a creature with this weapon, that creature has Disadvantage on its next attack roll before the start of your next turn.","save_dc 15, weapon_bonus 1, extra_damage_multiplier 1","https://5e.tools/items.html#dazzling%20war%20pick_efa"
"Deathdance","Forgotten Realms: Adventures in Faerûn","Adventuring Gear","Mundane","No","200 gp","160 gp / 200 gp / 240 gp","Official","floor-tripwire","A creature subjected to Deathdance must succeed on a DC 13 Constitution saving throw or have the Poisoned condition for 1 minute. Humanoids automatically succeed on this save. The creature also has the Incapacitated condition while Poisoned in this way, as it thrashes uncontrollably.","save_dc 13, is_poison 1, extra_damage_multiplier 1","https://5e.tools/items.html#deathdance_fraif"
