name,source,rarity,type,official_price_gp,req_attune,url,alias,req_attune_class,weapon_bonus,weapon_attack_bonus,weapon_damage_bonus,ac_bonus,saving_throw_bonus,ability_check_bonus,proficiency_bonus_mod,spell_attack_bonus,spell_save_dc_bonus,spell_damage_bonus,bonus_saving_throw_concentration,damage_resistances,damage_immunities,damage_vulnerabilities,condition_immunities,spell_scroll_level,attached_spells,charges,recharge,recharge_amount,speed_mods,grants_language,grants_proficiency,is_sentient,is_cursed,is_tattoo,is_wondrous,is_focus,is_poison,is_firearm,reload,armor_ac,armor_strength_req,vehicle_speed,vehicle_ac,vehicle_hp,vehicle_crew,vehicle_cargo_capacity,is_ammunition,is_shield,stealth_penalty,strength_req,crit_threshold,item_tier,ability_score_mods,weapon_properties,item_type_code,is_generic_variant,material,spell_battery_max_level,extra_damage_avg,extra_damage_dice,extra_damage_condition,extra_damage_condition_detail,extra_damage_multiplier,minor_beneficial,major_beneficial,minor_detrimental,major_detrimental,has_fixed_beneficial,has_fixed_detrimental,moonblade_properties,staff_forgotten_one_beneficial,staff_forgotten_one_detrimental,flight_full,flight_limited,darkvision_feet,truesight,blindsight,tremorsense,teleportation,invisibility_atwill,healing_daily_hp,healing_consumable_avg,healing_permanent_hp,tome_manual_boost,concentration_free,crit_immunity,wish_effect,spell_absorption,stealth_advantage,legendary_resistance,swim_speed,climb_speed,burrow_speed,save_advantage,save_advantage_tiers,save_advantage_broad,save_advantage_category,save_advantage_situational,condition_immunity_prose,language_known,unarmed_strike_bonus,unarmed_strike_damage,spell_casting_abilities,curse_effects,environmental_breathing,water_breathing,immune_to_disease,death_save_advantage,conditional_save_advantage,check_advantage,check_disadvantage,save_disadvantage,is_focus_prose,save_dc,temp_hp_avg,temp_hp_frequency,hp_max_flat,hp_max_per_level,initiative_bonus,initiative_advantage,extra_damage_priced_avg,normalized_name,dsa_price,msrp_price,dmpg_price,amalgamated_price,price_sources,price_confidence,power_score,defensive_score,spell_complexity,interaction_weapon_damage,interaction_flight_invisibility,rule_price,price_source,has_reference_source,criteria_coverage,guide_spread,price_authority,generic_parent,variant_base_price,variant_adjustment,variant_price,variant_adjusted_price
+3 Dragonkin Sickle,24GriffonsSaddlebag1,legendary,M|XPHB,,class,https://5e.tools/items.html#+3%20dragonkin%20sickle_24griffonssaddlebag1,,by a Dragonborn,3.0,,,,,,,,,,,[],[],[],[],,[],,,,{},False,False,False,False,False,False,False,False,False,,,,,,,,,False,False,False,,,,[],['L|XPHB'],M|XPHB,False,,,0.0,,,,1.0,0,0,0,0,False,False,0.0,0,0,False,False,0,False,False,False,False,False,0,0.0,0,False,False,False,False,False,False,False,False,False,False,[],[],0,0,0,[],[],,,[],[],False,False,False,False,[],[],[],[],False,,0.0,,0.0,0,0,False,0.0,dragonkin sickle +3,9900.0,20000.0,15000.0,14460.0,"DSA,MSRP,DMPG",multi,,,,0.0,0.0,14950.0,rule,True,1,0.6748329621380846,anchor,+3 Dragonkin Weapon,14975.338983050848,-0.3201406500739014,13537.074555917568,
+3 Dragonkin Side-handle Baton,24GriffonsSaddlebag1,legendary,M|XPHB,,class,https://5e.tools/items.html#+3%20dragonkin%20side-handle%20baton_24griffonssaddlebag1,,by a Dragonborn,3.0,,,,,,,,,,,[],[],[],[],,[],,,,{},False,False,False,False,False,False,False,False,False,,,,,,,,,False,False,False,,,,[],"['F|XPHB', 'L|XPHB']",M|XPHB,False,,,0.0,,,,1.0,0,0,0,0,False,False,0.0,0,0,False,False,0,False,False,False,False,False,0,0.0,0,False,False,False,False,False,False,False,False,False,False,[],[],0,0,0,[],[],,,[],[],False,False,False,False,[],[],[],[],False,,0.0,,0.0,0,0,False,0.0,dragonkin side-handle baton +3,9900.0,20000.0,15000.0,14460.0,"DSA,MSRP,DMPG",multi,,,,0.0,0.0,14950.0,rule,True,1,0.6748329621380846,anchor,+3 Dragonkin Weapon,14975.338983050848,-0.3201406500739014,13537.074555917568,
+3 Dragonkin Spear,24GriffonsSaddlebag1,legendary,M|XPHB,,class,https://5e.tools/items.html#+3%20dragonkin%20spear_24griffonssaddlebag1,,by a Dragonborn,3.0,,,,,,,,,,,[],[],[],[],,[],,,,{},False,False,False,False,False,False,False,False,False,,,,,,,,,False,False,False,,,,[],"['T|XPHB', 'V|XPHB']",M|XPHB,False,,,0.0,,,,1.0,0,0,0,0,False,False,0.0,0,0,False,False,0,False,False,False,False,False,0,0.0,0,False,False,False,False,False,False,False,False,False,False,[],[],0,0,0,[],[],,,[],[],False,False,False,False,[],[],[],[],False,,0.0,,0.0,0,0,False,0.0,dragonkin spear +3,9900.0,20000.0,15000.0,14460.0,"DSA,MSRP,DMPG",multi,,,,0.0,0.0,14950.0,rule,True,1,0.6748329621380846,anchor,+3 Dragonkin Weapon,14975.338983050848,-0.25,13852.188559322034,
+3 Dragonkin Steel Jaws,24GriffonsSaddlebag1,legendary,M|XPHB,,class,https://5e.tools/items.html#+3%20dragonkin%20steel%20jaws_24griffonssaddlebag1,,by a Dragonborn,3.0,,,,,,,,,,,[],[],[],[],,[],,,,{},False,False,False,False,False,False,False,False,False,,,,,,,,,False,False,False,,,,[],['F|XPHB'],M|XPHB,False,,,0.0,,,,1.0,0,0,0,0,False,False,0.0,0,0,False,False,0,False,False,False,False,False,0,0.0,0,False,False,False,False,False,False,False,False,False,False,[],[],0,0,0,[],[],,,[],[],False,False,False,False,[],[],[],[],False,,0.0,,0.0,0,0,False,0.0,dragonkin steel jaws +3,9900.0,20000.0,15000.0,14460.0,"DSA,MSRP,DMPG",multi,,,,0.0,0.0,14950.0,rule,True,1,0.6748329621380846,anchor,+3 Dragonkin Weapon,14975.338983050848,0.1798593499260986,15783.375403375194,
+3 Dragonkin Trident,24GriffonsSaddlebag1,legendary,M|XPHB,,class,https://5e.tools/items.html#+3%20dragonkin%20trident_24griffonssaddlebag1,,by a Dragonborn,3.0,,,,,,,,,,,[],[],[],[],,[],,,,{},False,False,False,False,False,False,False,False,False,,,,,,,,,False,False,False,,,,[],"['T|XPHB', 'V|XPHB']",M|XPHB,False,,,0.0,,,,1.0,0,0,0,0,False,False,0.0,0,0,False,False,0,False,False,False,False,False,0,0.0,0,False,False,False,False,False,False,False,False,False,False,[],[],0,0,0,[],[],,,[],[],False,False,False,False,[],[],[],[],False,,0.0,,0.0,0,0,False,0.0,dragonkin trident +3,9900.0,20000.0,15000.0,14460.0,"DSA,MSRP,DMPG",multi,,,,0.0,0.0,14950.0,rule,True,1,0.6748329621380846,anchor,+3 Dragonkin Weapon,14975.338983050848,0.0497655832101643,15198.915926529276,
+3 Dragonkin War Pick,24GriffonsSaddlebag1,legendary,M|XPHB,,class,https://5e.tools/items.html#+3%20dragonkin%20war%20pick_24griffonssaddlebag1,,by a Dragonborn,3.0,,,,,,,,,,,[],[],[],[],,[],,,,{},False,False,False,False,False,False,False,False,False,,,,,,,,,False,False,False,,,,[],['V|XPHB'],M|XPHB,False,,,0.0,,,,1.0,0,0,0,0,False,False,0.0,0,0,False,False,0,False,False,False,False,False,0,0.0,0,False,False,False,False,False,False,False,False,False,False,[],[],0,0,0,[],[],,,[],[],False,False,False,False,[],[],[],[],False,,0.0,,0.0,0,0,False,0.0,dragonkin war pick +3,9900.0,20000.0,15000.0,14460.0,"DSA,MSRP,DMPG",multi,,,,0.0,0.0,14950.0,rule,True,1,0.6748329621380846,anchor,+3 Dragonkin Weapon,14975.338983050848,-0.07014065007390143,14660.22497964638,
+3 Dragonkin Warhammer,24GriffonsSaddlebag1,legendary,M|XPHB,,class,https://5e.tools/items.html#+3%20dragonkin%20warhammer_24griffonssaddlebag1,,by a Dragonborn,3.0,,,,,,,,,,,[],[],[],[],,[],,,,{},False,False,False,False,False,False,False,False,False,,,,,,,,,False,False,False,,,,[],['V|XPHB'],M|XPHB,False,,,0.0,,,,1.0,0,0,0,0,False,False,0.0,0,0,False,False,0,False,False,False,False,False,0,0.0,0,False,False,False,False,False,False,False,False,False,False,[],[],0,0,0,[],[],,,[],[],False,False,False,False,[],[],[],[],False,,0.0,,0.0,0,0,False,0.0,dragonkin warhammer +3,9900.0,20000.0,15000.0,14460.0,"DSA,MSRP,DMPG",multi,,,,0.0,0.0,14950.0,rule,True,1,0.6748329621380846,anchor,+3 Dragonkin Weapon,14975.338983050848,0.08836676845642323,15372.33567679236,
+3 Dragonkin Whip,24GriffonsSaddlebag1,legendary,M|XPHB,,class,https://5e.tools/items.html#+3%20dragonkin%20whip_24griffonssaddlebag1,,by a Dragonborn,3.0,,,,,,,,,,,[],[],[],[],,[],,,,{},False,False,False,False,False,False,False,False,False,,,,,,,,,False,False,False,,,,[],"['F|XPHB', 'R|XPHB']",M|XPHB,False,,,0.0,,,,1.0,0,0,0,0,False,False,0.0,0,0,False,False,0,False,False,False,False,False,0,0.0,0,False,False,False,False,False,False,False,False,False,False,[],[],0,0,0,[],[],,,[],[],False,False,False,False,[],[],[],[],False,,0.0,,0.0,0,0,False,0.0,dragonkin whip +3,9900.0,20000.0,15000.0,14460.0,"DSA,MSRP,DMPG",multi,,,,0.0,0.0,14950.0,rule,True,1,0.6748329621380846,anchor,+3 Dragonkin Weapon,14975.338983050848,-0.25,13852.188559322034,
+3 Dragonkin Wrath Axe,24GriffonsSaddlebag1,legendary,M|XPHB,,class,https://5e.tools/items.html#+3%20dragonkin%20wrath%20axe_24griffonssaddlebag1,,by a Dragonborn,3.0,,,,,,,,,,,[],[],[],[],,[],,,,{},False,False,False,False,False,False,False,False,False,,,,,,,,,False,False,False,,,,[],"['Haft|GrimHollowPG24', 'H|XPHB', 'Mom|GrimHollowPG24', '2H|XPHB']",M|XPHB,False,,,0.0,,,,1.0,0,0,0,0,False,False,0.0,0,0,False,False,0,False,False,False,False,False,0,0.0,0,False,False,False,False,False,False,False,False,False,False,[],[],0,0,0,[],[],,,[],[],False,False,False,False,[],[],[],[],False,,0.0,,0.0,0,0,False,0.0,dragonkin wrath axe +3,9900.0,20000.0,15000.0,14460.0,"DSA,MSRP,DMPG",multi,,,,0.0,0.0,14950.0,rule,True,1,0.6748329621380846,anchor,+3 Dragonkin Weapon,14975.338983050848,0.4898124665681315,17175.871300545456,
+3 Dragonkin Wrath Maul,24GriffonsSaddlebag1,legendary,M|XPHB,,class,https://5e.tools/items.html#+3%20dragonkin%20wrath%20maul_24griffonssaddlebag1,,by a Dragonborn,3.0,,,,,,,,,,,[],[],[],[],,[],,,,{},False,False,False,False,False,False,False,False,False,,,,,,,,,False,False,False,,,,[],"['Haft|GrimHollowPG24', 'H|XPHB', 'Mom|GrimHollowPG24', '2H|XPHB']",M|XPHB,False,,,0.0,,,,1.0,0,0,0,0,False,False,0.0,0,0,False,False,0,False,False,False,False,False,0,0.0,0,False,False,False,False,False,False,False,False,False,False,[],[],0,0,0,[],[],,,[],[],False,False,False,False,[],[],[],[],False,,0.0,,0.0,0,0,False,0.0,dragonkin wrath maul +3,9900.0,20000.0,15000.0,14460.0,"DSA,MSRP,DMPG",multi,,,,0.0,0.0,14950.0,rule,True,1,0.6748329621380846,anchor,+3 Dragonkin Weapon,14975.338983050848,0.5284136518143904,17349.291050808537,
+3 Drive Shaft,XDMG,very_rare,M,,none,https://5e.tools/items.html#+3%20drive%20shaft_xdmg,,,3.0,,,,,,,,,,,[],[],[],[],,[],,,,{},False,False,False,False,False,False,False,False,False,,,,,,,,,False,False,False,,,,[],"['H', '2H']",M,False,,,0.0,,,,1.0,0,0,0,0,False,False,0.0,0,0,False,False,0,False,False,False,False,False,0,0.0,0,False,False,False,False,False,False,False,False,False,False,[],[],0,0,0,[],[],,,[],[],False,False,False,False,[],[],[],[],False,,0.0,,0.0,0,0,False,0.0,drive shaft +3,9900.0,20000.0,15000.0,14460.0,"DSA,MSRP,DMPG",multi,,,,0.0,0.0,14950.0,rule,True,1,0.6748329621380846,anchor,+3 Weapon,14963.715596330276,0.7217989354430078,18203.953792641212,
+3 Elite Rapier,XDMG,very_rare,M|XPHB,,none,https://5e.tools/items.html#+3%20elite%20rapier_xdmg,,,3.0,,,,,,,,,,,[],[],[],[],,[],,,,{},False,False,False,False,False,False,False,False,False,,,,,,,,,False,False,False,,,,[],['F|XPHB'],M|XPHB,False,,,2.5,1d4,unconditional,,1.0,0,0,0,0,False,False,0.0,0,0,False,False,0,False,False,False,False,False,0,0.0,0,False,False,False,False,False,False,False,False,False,False,[],[],0,0,0,[],[],,,[],[],False,False,False,False,[],[],[],[],False,,0.0,,0.0,0,0,False,2.5,elite rapier +3,9900.0,20000.0,15000.0,14460.0,"DSA,MSRP,DMPG",multi,,,,7.5,0.0,14950.0,rule,True,2,0.6748329621380846,anchor,+3 Weapon,14963.715596330276,-0.04740434450859715,14750.912057553143,
+3 Fan,XDMG,very_rare,M,,none,https://5e.tools/items.html#+3%20fan_xdmg,,,3.0,,,,,,,,,,,[],[],[],[],,[],,,,{},False,False,False,False,False,False,False,False,False,,,,,,,,,False,False,False,,,,[],"['F', 'L', 'S']",M,False,,,0.0,,,,1.0,0,0,0,0,False,False,0.0,0,0,False,False,0,False,False,False,False,False,0,0.0,0,False,False,False,False,False,False,False,False,False,False,[],[],0,0,0,[],[],,,[],[],False,False,False,False,[],[],[],[],False,,0.0,,0.0,0,0,False,0.0,fan +3,9900.0,20000.0,15000.0,14460.0,"DSA,MSRP,DMPG",multi,,,,0.0,0.0,14950.0,rule,True,1,0.6748329621380846,anchor,+3 Weapon,14963.715596330276,-0.3784426067051583,13264.843335449317,
+3 Fate Dealer's Deck,BMT,legendary,,,class,https://5e.tools/items.html#+3%20fate%20dealer's%20deck_bmt,,by a cleric or paladin,,,,,,,,3.0,3.0,,,[],[],[],[],,[],,,,{},False,False,False,False,False,True,True,False,False,,,,,,,,,False,False,False,,,,[],[],,False,,,0.0,,,,1.0,0,0,0,0,False,False,0.0,0,0,False,False,0,False,False,False,False,False,0,0.0,0,False,False,False,False,False,False,False,False,False,False,[],[],0,0,0,[],[],,,[],[],False,False,False,False,[],[],[],[],True,,0.0,,0.0,0,0,False,0.0,fate dealers deck +3,,,,,,none,,,,0.0,0.0,45840.0,rule,False,1,,rule,,,,,
+3 Field Spear,XDMG,very_rare,M,,none,https://5e.tools/items.html#+3%20field%20spear_xdmg,,,3.0,,,,,,,,,,,[],[],[],[],,[],,,,{},False,False,False,False,False,False,False,False,False,,,,,,,,,False,False,False,,,,[],"['F', 'T', 'V']",M,False,,,0.0,,,,1.0,0,0,0,0,False,False,0.0,0,0,False,False,0,False,False,False,False,False,0,0.0,0,False,False,False,False,False,False,False,False,False,False,[],[],0,0,0,[],[],,,[],[],False,False,False,False,[],[],[],[],False,,0.0,,0.0,0,0,False,0.0,field spear +3,9900.0,20000.0,15000.0,14460.0,"DSA,MSRP,DMPG",multi,,,,0.0,0.0,14950.0,rule,True,1,0.6748329621380846,anchor,+3 Weapon,14963.715596330276,-0.3784426067051583,13264.843335449317,
+3 Fighting Chain,XDMG,very_rare,M|XPHB,,none,https://5e.tools/items.html#+3%20fighting%20chain_xdmg,,,3.0,,,,,,,,,,,[],[],[],[],,[],,,,{},False,False,False,False,False,False,False,False,False,,,,,,,,,False,False,False,,,,[],"['D|GrimHollowPG24', 'F|XPHB', 'R|XPHB', '2H|XPHB']",M|XPHB,False,,,0.0,,,,1.0,0,0,0,0,False,False,0.0,0,0,False,False,0,False,False,False,False,False,0,0.0,0,False,False,False,False,False,False,False,False,False,False,[],[],0,0,0,[],[],,,[],[],False,False,False,False,[],[],[],[],False,,0.0,,0.0,0,0,False,0.0,fighting chain +3,9900.0,20000.0,15000.0,14460.0,"DSA,MSRP,DMPG",multi,,,,0.0,0.0,14950.0,rule,True,1,0.6748329621380846,anchor,+3 Weapon,14963.715596330276,-0.25,13841.436926605506,
"+3 Fighting Chain, Brutal",XDMG,very_rare,M|XPHB,,none,"https://5e.tools/items.html#+3%20fighting%20chain,%20brutal_xdmg",,,3.0,,,,,,,,,,,[],[],[],[],,[],,,,{},False,False,False,False,False,False,False,False,False,,,,,,,,,False,False,False,,,,[],"['D|GrimHollowPG24', 'F|XPHB', 'R|XPHB', '2H|XPHB']",M|XPHB,False,,,0.0,,,,1.0,0,0,0,0,False,False,0.0,0,0,False,False,0,False,False,False,False,False,0,0.0,0,False,False,False,False,False,False,False,False,False,False,[],[],0,0,0,[],[],,,[],[],False,False,False,False,[],[],[],[],False,,0.0,,0.0,0,0,False,0.0,fighting chain brutal +3,9900.0,20000.0,15000.0,14460.0,"DSA,MSRP,DMPG",multi,,,,0.0,0.0,14950.0,rule,True,1,0.6748329621380846,anchor,+3 Weapon,14963.715596330276,-0.16896173780343887,14205.226978984561,
"+3 Fighting Chain, Hook",XDMG,very_rare,M|XPHB,,none,"https://5e.tools/items.html#+3%20fighting%20chain,%20hook_xdmg",,,3.0,,,,,,,,,,,[],[],[],[],,[],,,,{},False,False,False,False,False,False,False,False,False,,,,,,,,,False,False,False,,,,[],"['Dam|GrimHollowPG24', 'D|GrimHollowPG24', 'F|XPHB', 'R|XPHB', '2H|XPHB']",M|XPHB,False,,,0.0,,,,1.0,0,0,0,0,False,False,0.0,0,0,False,False,0,False,False,False,False,False,0,0.0,0,False,False,False,False,False,False,False,False,False,False,[],[],0,0,0,[],[],,,[],[],False,False,False,False,[],[],[],[],False,10.0,0.0,,0.0,0,0,False,0.0,fighting chain hook +3,9900.0,20000.0,15000.0,14460.0,"DSA,MSRP,DMPG",multi,,,,0.0,0.0,14950.0,rule,True,1,0.6748329621380846,anchor,+3 Weapon,14963.715596330276,-0.25,13841.436926605506,
"+3 Fighting Chain, Sickle",XDMG,very_rare,M|XPHB,,none,"https://5e.tools/items.html#+3%20fighting%20chain,%20sickle_xdmg",,,3.0,,,,,,,,,,,[],[],[],[],,[],,,,{},False,False,False,False,False,False,False,False,False,,,,,,,,,False,False,False,,,,[],"['Dam|GrimHollowPG24', 'D|GrimHollowPG24', 'F|XPHB', 'R|XPHB', '2H|XPHB']",M|XPHB,False,,,0.0,,,,1.0,0,0,0,0,False,False,0.0,0,0,False,False,0,False,False,False,False,False,0,0.0,0,False,False,False,False,False,False,False,False,False,False,[],[],0,0,0,[],[],,,[],[],False,False,False,False,[],[],[],[],False,10.0,0.0,,0.0,0,0,False,0.0,fighting chain sickle +3,9900.0,20000.0,15000.0,14460.0,"DSA,MSRP,DMPG",multi,,,,0.0,0.0,14950.0,rule,True,1,0.6748329621380846,anchor,+3 Weapon,14963.715596330276,-0.25,13841.436926605506,
+3 Firearm Bullet,XDMG,very_rare,A|XPHB,,none,https://5e.tools/items.html#+3%20firearm%20bullet_xdmg,,,3.0,,,,,,,,,,,[],[],[],[],,[],,,,{},False,False,False,False,False,False,False,False,False,,,,,,,,,True,False,False,,,,[],[],A|XPHB,False,,,0.0,,,,1.0,0,0,0,0,False,False,0.0,0,0,False,False,0,False,False,False,False,False,0,0.0,0,False,False,False,False,False,False,False,False,False,False,[],[],0,0,0,[],[],,,[],[],False,False,False,False,[],[],[],[],False,,0.0,,0.0,0,0,False,0.0,firearm bullet +3,277.2,500.0,1250.0,635.88,"DSA,MSRP,DMPG",multi,,,,0.0,0.0,1000.0,rule,True,1,1.4396211523283349,anchor,+3 Ammunition,1000.0,0.06246936830414999,1018.7408104912449,
+3 Flail,XDMG,very_rare,M|XPHB,,none,https://5e.tools/items.html#+3%20flail_xdmg,,,3.0,,,,,,,,,,,[],[],[],[],,[],,,,{},False,False,False,False,False,False,False,False,False,,,,,,,,,False,False,False,,,,[],[],M|XPHB,False,,,0.0,,,,1.0,0,0,0,0,False,False,0.0,0,0,False,False,0,False,False,False,False,False,0,0.0,0,False,False,False,False,False,False,False,False,False,False,[],[],0,0,0,[],[],,,[],[],False,False,False,False,[],[],[],[],False,,0.0,,0.0,0,0,False,0.0,flail +3,9900.0,20000.0,15000.0,14460.0,"DSA,MSRP,DMPG",multi,,,,0.0,0.0,14950.0,rule,True,1,0.6748329621380846,anchor,+3 Weapon,14963.715596330276,-0.04740434450859715,14750.912057553143,
+3 Flame Bellows,XDMG,very_rare,R|XPHB,,none,https://5e.tools/items.html#+3%20flame%20bellows_xdmg,,,3.0,,,,,,,,,,,[],[],[],[],,[],,,,{},False,False,False,False,False,False,False,False,False,,,,,,,,,False,False,False,,,,[],"['A|XPHB', 'CS|GrimHollowPG24', 'LD|XPHB', 'Mag|GrimHollowPG24', '2H|XPHB']",R|XPHB,False,,,0.0,,,,1.0,0,0,0,0,False,False,0.0,0,0,False,False,0,False,False,False,False,False,0,0.0,0,False,False,False,False,False,False,False,False,False,False,[],[],0,0,0,[],[],,,[],[],False,False,False,False,[],[],[],[],False,,0.0,,0.0,0,0,False,0.0,flame bellows +3,9900.0,20000.0,15000.0,14460.0,"DSA,MSRP,DMPG",multi,,,,0.0,0.0,14950.0,rule,True,1,0.6748329621380846,anchor,+3 Weapon,14963.715596330276,0.4019037198570449,16767.907484644682,
+3 Flare,XDMG,very_rare,A|XPHB,,none,https://5e.tools/items.html#+3%20flare_xdmg,,,3.0,,,,,,,,,,,[],[],[],[],,[],,,,{},False,False,False,False,False,False,False,False,False,,,,,,,,,True,False,False,,,,[],[],A|XPHB,False,,,0.0,,,,1.0,0,0,0,0,False,False,0.0,0,0,False,False,0,False,False,False,False,False,0,0.0,0,False,False,False,False,False,False,False,False,False,False,[],[],0,0,0,[],[],,,[],[],False,False,False,False,[],[],[],[],False,,0.0,,0.0,0,0,False,0.0,flare +3,277.2,500.0,1250.0,635.88,"DSA,MSRP,DMPG",multi,,,,0.0,0.0,1000.0,rule,True,1,1.4396211523283349,anchor,+3 Ammunition,1000.0,0.4119543704721593,1123.5863111416477,
+3 Frying Pan,XDMG,very_rare,M,,none,https://5e.tools/items.html#+3%20frying%20pan_xdmg,,,3.0,,,,,,,,,,,[],[],[],[],,[],,,,{},False,False,False,False,False,False,False,False,False,,,,,,,,,False,False,False,,,,[],"['V', 'S']",M,False,,,0.0,,,,1.0,0,0,0,0,False,False,0.0,0,0,False,False,0,False,False,False,False,False,0,0.0,0,False,False,False,False,False,False,False,False,False,False,[],[],0,0,0,[],[],,,[],[],False,False,False,False,[],[],[],[],False,,0.0,,0.0,0,0,False,0.0,frying pan +3,9900.0,20000.0,15000.0,14460.0,"DSA,MSRP,DMPG",multi,,,,0.0,0.0,14950.0,rule,True,1,0.6748329621380846,anchor,+3 Weapon,14963.715596330276,-0.16896173780343887,14205.226978984561,
+3 Gladiator Net,XDMG,very_rare,M|XPHB,,none,https://5e.tools/items.html#+3%20gladiator%20net_xdmg,,,3.0,,,,,,,,,,,[],[],[],[],,[],,,,{},False,False,False,False,False,False,False,False,False,,,,,,,,,False,False,False,,,,[],['T|XPHB'],M|XPHB,False,,,0.0,,,,1.0,0,0,0,0,False,False,0.0,0,0,False,False,0,False,False,False,False,False,0,0.0,0,False,False,False,False,False,False,False,False,False,False,[],[],0,0,0,[],[],,,[],[],False,False,False,False,[],[],[],[],False,10.0,0.0,,0.0,0,0,False,0.0,gladiator net +3,9900.0,20000.0,15000.0,14460.0,"DSA,MSRP,DMPG",multi,,,,0.0,0.0,14950.0,rule,True,1,0.6748329621380846,anchor,+3 Weapon,14963.715596330276,-0.1902775889501145,14109.537678708792,
+3 Glaive,XDMG,very_rare,M|XPHB,,none,https://5e.tools/items.html#+3%20glaive_xdmg,,,3.0,,,,,,,,,,,[],[],[],[],,[],,,,{},False,False,False,False,False,False,False,False,False,,,,,,,,,False,False,False,,,,[],"['H|XPHB', 'R|XPHB', '2H|XPHB']",M|XPHB,False,,,0.0,,,,1.0,0,0,0,0,False,False,0.0,0,0,False,False,0,False,False,False,False,False,0,0.0,0,False,False,False,False,False,False,False,False,False,False,[],[],0,0,0,[],[],,,[],[],False,False,False,False,[],[],[],[],False,,0.0,,0.0,0,0,False,0.0,glaive +3,9900.0,20000.0,15000.0,14460.0,"DSA,MSRP,DMPG",multi,,,,0.0,0.0,14950.0,rule,True,1,0.6748329621380846,anchor,+3 Weapon,14963.715596330276,0.08103826219656114,15327.505648709332,
+3 Greataxe,XDMG,very_rare,M|XPHB,,none,https://5e.tools/items.html#+3%20greataxe_xdmg,,,3.0,,,,,,,,,,,[],[],[],[],,[],,,,{},False,False,False,False,False,False,False,False,False,,,,,,,,,False,False,False,,,,[],"['H|XPHB', '2H|XPHB']",M|XPHB,False,,,0.0,,,,1.0,0,0,0,0,False,False,0.0,0,0,False,False,0,False,False,False,False,False,0,0.0,0,False,False,False,False,False,False,False,False,False,False,[],[],0,0,0,[],[],,,[],[],False,False,False,False,[],[],[],[],False,,0.0,,0.0,0,0,False,0.0,greataxe +3,9900.0,20000.0,15000.0,14460.0,"DSA,MSRP,DMPG",multi,,,,0.0,0.0,14950.0,rule,True,1,0.6748329621380846,anchor,+3 Weapon,14963.715596330276,0.3490605575473523,16530.688469040793,
+3 Greatclub,XDMG,very_rare,M|XPHB,,none,https://5e.tools/items.html#+3%20greatclub_xdmg,,,3.0,,,,,,,,,,,[],[],[],[],,[],,,,{},False,False,False,False,False,False,False,False,False,,,,,,,,,False,False,False,,,,[],['2H|XPHB'],M|XPHB,False,,,0.0,,,,1.0,0,0,0,0,False,False,0.0,0,0,False,False,0,False,False,False,False,False,0,0.0,0,False,False,False,False,False,False,False,False,False,False,[],[],0,0,0,[],[],,,[],[],False,False,False,False,[],[],[],[],False,,0.0,,0.0,0,0,False,0.0,greatclub +3,9900.0,20000.0,15000.0,14460.0,"DSA,MSRP,DMPG",multi,,,,0.0,0.0,14950.0,rule,True,1,0.6748329621380846,anchor,+3 Weapon,14963.715596330276,0.14076067324644664,15595.606400812616,
+3 Greatsword,XDMG,very_rare,M|XPHB,,none,https://5e.tools/items.html#+3%20greatsword_xdmg,,,3.0,,,,,,,,,,,[],[],[],[],,[],,,,{},False,False,False,False,False,False,False,False,False,,,,,,,,,False,False,False,,,,[],"['H|XPHB', '2H|XPHB']",M|XPHB,False,,,0.0,,,,1.0,0,0,0,0,False,False,0.0,0,0,False,False,0,False,False,False,False,False,0,0.0,0,False,False,False,False,False,False,False,False,False,False,[],[],0,0,0,[],[],,,[],[],False,False,False,False,[],[],[],[],False,,0.0,,0.0,0,0,False,0.0,greatsword +3,9900.0,20000.0,15000.0,14460.0,"DSA,MSRP,DMPG",multi,,,,0.0,0.0,14950.0,rule,True,1,0.6748329621380846,anchor,+3 Weapon,14963.715596330276,0.33103826219656113,16449.784318434104,
+3 Guardian Poleaxe,XDMG,very_rare,M|XPHB,,none,https://5e.tools/items.html#+3%20guardian%20poleaxe_xdmg,,,3.0,,,,,,,,,,,[],[],[],[],,[],,,,{},False,False,False,False,False,False,False,False,False,,,,,,,,,False,False,False,,,,[],"['Dam|GrimHollowPG24', 'Haft|GrimHollowPG24', 'H|XPHB', 'R|XPHB', '2H|XPHB']",M|XPHB,False,,,0.0,,,,1.0,0,0,0,0,False,False,0.0,0,0,False,False,0,False,False,False,False,False,0,0.0,0,False,False,False,False,False,False,False,False,False,False,[],[],0,0,0,[],[],,,[],[],False,False,False,False,[],[],[],[],False,,0.0,,0.0,0,0,False,0.0,guardian poleaxe +3,9900.0,20000.0,15000.0,14460.0,"DSA,MSRP,DMPG",multi,,,,0.0,0.0,14950.0,rule,True,1,0.6748329621380846,anchor,+3 Weapon,14963.715596330276,0.1284426067051583,15540.309187486464,
