"Name","Source","Type","Rarity","Attunement","Price (gp)","Price Formatted","Price Source","Has Reference"
"Double-Bladed Scimitar Bonze's Bokken, Wind Ripper (very rare)","HelianasGuidetoMonsterHunting","M","Very Rare","open","17437.87","17,437 gp","Algorithm","True"
"Double-Bladed Scimitar Jaw Breakers (rare)","HelianasGuidetoMonsterHunting","M","Rare","class","590.43","590 gp","Algorithm","True"
"Double-Bladed Scimitar Jaw Breakers (very rare)","HelianasGuidetoMonsterHunting","M","Very Rare","class","2768.92","2,768 gp","Algorithm","True"
"Double-Bladed Scimitar of Agonizing Paralysis","CoA","M","Very Rare","open","13697.0","13,697 gp","Algorithm","True"
"Double-Bladed Scimitar of Certain Death","EGW","M","Rare","No","4023.77","4,023 gp","Algorithm","True"
"Double-Bladed Scimitar of Grass","BookOfEbonTides","M","Uncommon","class","4999.19","4,999 gp","Algorithm","True"
"Double-Bladed Scimitar of Retribution","CoA","M","Very Rare","open","8478.92","8,478 gp","Algorithm","True"
"Double-Bladed Scimitar of Retribution","MonstersOfDrakkenheim","M","Rare","class","3351.42","3,351 gp","Algorithm","True"
"Double-Bladed Scimitar of the Medusa","LLK","M","Very Rare","open","9543.7","9,543 gp","Algorithm","True"
"Double-Bladed Scimitar of the Planes","BMT","M","Legendary","open","14091.69","14,091 gp","Algorithm","True"
"Double-Bladed Scimitar of the Sun And Moon","ObojimaTallGrass","M","Rare","open","3643.76","3,643 gp","Algorithm","True"
"Double-Bladed Scimitar of the Wood","HumblewoodCampaignSetting","M","Rare","open","6126.82","6,126 gp","Algorithm","True"
"Double-Bladed Scimitar of Throne's Command","BMT","M","Very Rare","open","15838.43","15,838 gp","Algorithm","True"
"Double-Bladed Scimitar of Verdict","GriffonsSaddlebag2","M","Uncommon","class","1975.08","1,975 gp","Algorithm","True"
"Double-Bladed Scimitar of Warning","XDMG","M","Uncommon","open","678.02","678 gp","Algorithm","True"
"Double-Bladed Scimitar Tail's End (rare)","HelianasGuidetoMonsterHunting","M","Rare","No","4189.28","4,189 gp","Algorithm","True"
"Double-Bladed Scimitar Tail's End (very rare)","HelianasGuidetoMonsterHunting","M","Very Rare","No","14138.82","14,138 gp","Algorithm","True"
"Double-Bladed Scimitar Terrorasque (rare)","HelianasGuidetoMonsterHunting","M","Rare","open","7200.0","7,200 gp","Algorithm","True"
"Double-Bladed Scimitar Terrorasque (very rare)","HelianasGuidetoMonsterHunting","M","Very Rare","open","18900.0","18,900 gp","Algorithm","True"
"Draakhorn","RoT","","Artifact","No","150000.0","150,000 gp","Algorithm","False"
"Draconic Longsword","ToA","M","Unknown Magic","No","589.0","589 gp","Algorithm","False"
"Dragon Pistol of Certain Death","EGW","R|XPHB","Rare","No","4005.89","4,005 gp","Algorithm","True"
"Dragon Rifle of Certain Death","EGW","R|XPHB","Rare","No","4105.89","4,105 gp","Algorithm","True"
"Dragon Sensing Longsword","PotA","M","Unknown Magic","No","508.66","508 gp","Algorithm","False"
"Dragon Shot of Slaying","XDMG","A|XPHB","Very Rare","No","986.79","986 gp","Algorithm","True"
"Dragon Slayer","XDMG","GV|XDMG","Rare","No","1912.19","1,912 gp","Single source (DSA)","True"
"Dragon Slayer Assault Rifle","XDMG","R|XPHB","Rare","No","747.6","747 gp","Algorithm","True"
"Dragon Slayer Axe","XDMG","M","Rare","No","704.58","704 gp","Single source (DSA)","True"
"Dragon Slayer Battle Axe","XDMG","M","Rare","No","725.0","725 gp","Algorithm","True"
"Dragon Slayer Battleaxe","XDMG","M|XPHB","Rare","No","725.0","725 gp","Algorithm","True"
"Dragon Slayer Bellow Flute","XDMG","M","Rare","No","695.79","695 gp","Algorithm","True"
"Dragon Slayer Blowgun","XDMG","R|XPHB","Rare","No","713.92","713 gp","Algorithm","True"
"Dragon Slayer Blunderbuss","XDMG","R|XPHB","Rare","No","753.69","753 gp","Algorithm","True"
"Dragon Slayer Boat Oar","XDMG","M","Rare","No","730.54","730 gp","Algorithm","True"
"Dragon Slayer Boomerang","XDMG","M","Rare","No","695.79","695 gp","Algorithm","True"
"Dragon Slayer Brass Knuckles","XDMG","M|XPHB","Rare","No","695.79","695 gp","Algorithm","True"
"Dragon Slayer Butterfly Staff","XDMG","M","Rare","No","695.79","695 gp","Algorithm","True"
"Dragon Slayer Candlemaker's Club","XDMG","M","Rare","No","750.45","750 gp","Algorithm","True"
"Dragon Slayer Cannon","XDMG","R|XPHB","Rare","No","793.46","793 gp","Algorithm","True"
"Dragon Slayer Club","XDMG","M|XPHB","Rare","No","701.33","701 gp","Algorithm","True"
"Dragon Slayer Dagger","XDMG","M|XPHB","Rare","No","695.79","695 gp","Algorithm","True"
"Dragon Slayer Dandelion Spear","XDMG","M","Rare","No","728.24","728 gp","Algorithm","True"
"Dragon Slayer Dart","XDMG","R|XPHB","Rare","No","684.71","684 gp","Algorithm","True"
"Dragon Slayer Double-Barrel Shotgun","XDMG","R|XPHB","Rare","No","748.67","748 gp","Algorithm","True"
"Dragon Slayer Double-Bladed Scimitar","XDMG","M","Rare","No","728.24","728 gp","Algorithm","True"
"Dragon Slayer Drive Shaft","XDMG","M","Rare","No","774.12","774 gp","Algorithm","True"
"Dragon Slayer Fan","XDMG","M","Rare","No","695.79","695 gp","Single source (DSA)","True"
"Dragon Slayer Field Spear","XDMG","M","Rare","No","695.79","695 gp","Algorithm","True"
"Dragon Slayer Flail","XDMG","M|XPHB","Rare","No","719.46","719 gp","Algorithm","True"
"Dragon Slayer Flare Gun","XDMG","R|XPHB","Rare","No","732.04","732 gp","Algorithm","True"
"Dragon Slayer Frying Pan","XDMG","M","Rare","No","710.12","710 gp","Algorithm","True"
"Dragon Slayer Gatling Gun","XDMG","R|XPHB","Rare","No","770.64","770 gp","Algorithm","True"
"Dragon Slayer Glaive","XDMG","M|XPHB","Rare","No","728.24","728 gp","Algorithm","True"
"Dragon Slayer Greataxe","XDMG","M|XPHB","Rare","No","747.6","747 gp","Algorithm","True"
"Dragon Slayer Greatclub","XDMG","M|XPHB","Rare","No","732.32","732 gp","Algorithm","True"
"Dragon Slayer Greatsword","XDMG","M|XPHB","Rare","No","746.37","746 gp","Algorithm","True"
"Dragon Slayer Halberd","XDMG","M|XPHB","Rare","No","728.24","728 gp","Algorithm","True"
"Dragon Slayer Hammer","XDMG","M","Rare","No","704.58","704 gp","Algorithm","True"
"Dragon Slayer Hand Claws","XDMG","M|XPHB","Rare","No","701.33","701 gp","Algorithm","True"
"Dragon Slayer Hand Crossbow","XDMG","R|XPHB","Rare","No","704.58","704 gp","Algorithm","True"
"Dragon Slayer Hand Sentira Lens","XDMG","R","Rare","No","704.58","704 gp","Algorithm","True"
"Dragon Slayer Hand Tommybow (2)","XDMG","R","Rare","No","704.58","704 gp","Algorithm","True"
"Dragon Slayer Hand Tommybow (3)","XDMG","R","Rare","No","704.58","704 gp","Algorithm","True"
"Dragon Slayer Hand Tommybow (4)","XDMG","R","Rare","No","704.58","704 gp","Algorithm","True"
"Dragon Slayer Hand Tommybow (5)","XDMG","R","Rare","No","704.58","704 gp","Algorithm","True"
"Dragon Slayer Hand Tommybow (6)","XDMG","R","Rare","No","704.58","704 gp","Algorithm","True"
"Dragon Slayer Handaxe","XDMG","M|XPHB","Rare","No","701.33","701 gp","Algorithm","True"
"Dragon Slayer Handgun","XDMG","R|XPHB","Rare","No","722.7","722 gp","Algorithm","True"
"Dragon Slayer Heavy Bayonet","XDMG","M","Rare","No","713.92","713 gp","Algorithm","True"
"Dragon Slayer Heavy Crossbow","XDMG","R|XPHB","Rare","No","737.02","737 gp","Algorithm","True"
"Dragon Slayer Heavy Hammer","XDMG","M","Rare","No","725.0","725 gp","Algorithm","True"
"Dragon Slayer Heavy Sentira Lens","XDMG","R","Rare","No","718.9","718 gp","Algorithm","True"
"Dragon Slayer Heavy Tommybow (2)","XDMG","R","Rare","No","737.02","737 gp","Algorithm","True"
"Dragon Slayer Heavy Tommybow (3)","XDMG","R","Rare","No","737.02","737 gp","Algorithm","True"
"Dragon Slayer Heavy Tommybow (4)","XDMG","R","Rare","No","737.02","737 gp","Algorithm","True"
"Dragon Slayer Heavy Tommybow (5)","XDMG","R","Rare","No","737.02","737 gp","Algorithm","True"
"Dragon Slayer Heavy Tommybow (6)","XDMG","R","Rare","No","737.02","737 gp","Algorithm","True"
"Dragon Slayer Hooked Shortspear","XDMG","M","Rare","No","701.33","701 gp","Algorithm","True"
"Dragon Slayer Hoopak","XDMG","M","Rare","No","701.33","701 gp","Algorithm","True"
"Dragon Slayer Iron Tea Kettle","XDMG","M","Rare","No","719.46","719 gp","Algorithm","True"
"Dragon Slayer Javelin","XDMG","M|XPHB","Rare","No","701.33","701 gp","Algorithm","True"
"Dragon Slayer Lance","XDMG","M|XPHB","Rare","No","728.24","728 gp","Algorithm","True"
"Dragon Slayer Light Bayonet","XDMG","M","Rare","No","695.79","695 gp","Algorithm","True"
"Dragon Slayer Light Crossbow","XDMG","R|XPHB","Rare","No","726.78","726 gp","Algorithm","True"
"Dragon Slayer Light Hammer","XDMG","M|XPHB","Rare","No","701.33","701 gp","Algorithm","True"
"Dragon Slayer Light Repeating Crossbow","XDMG","R","Rare","No","726.78","726 gp","Algorithm","True"
"Dragon Slayer Light Sentira Lens","XDMG","R","Rare","No","708.66","708 gp","Algorithm","True"
"Dragon Slayer Light Tommybow (2)","XDMG","R","Rare","No","726.78","726 gp","Algorithm","True"
"Dragon Slayer Light Tommybow (3)","XDMG","R","Rare","No","726.78","726 gp","Algorithm","True"
"Dragon Slayer Light Tommybow (4)","XDMG","R","Rare","No","726.78","726 gp","Algorithm","True"
"Dragon Slayer Light Tommybow (5)","XDMG","R","Rare","No","726.78","726 gp","Algorithm","True"
"Dragon Slayer Light Tommybow (6)","XDMG","R","Rare","No","726.78","726 gp","Algorithm","True"
"Dragon Slayer Lom Lom Dagger","XDMG","M","Rare","No","695.79","695 gp","Algorithm","True"
"Dragon Slayer Long Sword","XDMG","M","Rare","No","722.7","722 gp","Algorithm","True"
"Dragon Slayer Longbow","XDMG","R|XPHB","Rare","No","719.46","719 gp","Algorithm","True"
"Dragon Slayer Longsword","XDMG","M|XPHB","Rare","No","722.7","722 gp","Algorithm","True"
"Dragon Slayer Mace","XDMG","M|XPHB","Rare","No","706.88","706 gp","Algorithm","True"
"Dragon Slayer Magnum","XDMG","R|XPHB","Rare","No","764.49","764 gp","Algorithm","True"
"Dragon Slayer Mattock","XDMG","M","Rare","No","750.45","750 gp","Algorithm","True"
"Dragon Slayer Maul","XDMG","M|XPHB","Rare","No","750.45","750 gp","Algorithm","True"
"Dragon Slayer Morningstar","XDMG","M|XPHB","Rare","No","725.0","725 gp","Algorithm","True"
"Dragon Slayer Musket","XDMG","R|XPHB","Rare","No","750.45","750 gp","Algorithm","True"
"Dragon Slayer Nakudama Bubble Rod","XDMG","R","Rare","No","713.92","713 gp","Algorithm","True"
"Dragon Slayer Parlor Gun","XDMG","R|XPHB","Rare","No","713.92","713 gp","Algorithm","True"
"Dragon Slayer Pike","XDMG","M|XPHB","Rare","No","737.02","737 gp","Algorithm","True"
"Dragon Slayer Pistol","XDMG","R|XPHB","Rare","No","722.7","722 gp","Algorithm","True"
"Dragon Slayer Pump Shotgun","XDMG","R|XPHB","Rare","No","765.72","765 gp","Algorithm","True"
"Dragon Slayer Punch Knife","XDMG","M|XPHB","Rare","No","704.58","704 gp","Algorithm","True"
"Dragon Slayer Quarterstaff","XDMG","M|XPHB","Rare","No","706.88","706 gp","Algorithm","True"
"Dragon Slayer Rapier","XDMG","M|XPHB","Rare","No","719.46","719 gp","Algorithm","True"
"Dragon Slayer Scimitar","XDMG","M|XPHB","Rare","No","704.58","704 gp","Algorithm","True"
"Dragon Slayer Secret Stone Sword","XDMG","M","Rare","No","695.79","695 gp","Algorithm","True"
"Dragon Slayer Shepherd Crook","XDMG","M","Rare","No","706.88","706 gp","Algorithm","True"
"Dragon Slayer Shortbow","XDMG","R|XPHB","Rare","No","701.33","701 gp","Algorithm","True"
"Dragon Slayer Shortsword","XDMG","M|XPHB","Rare","No","701.33","701 gp","Algorithm","True"
"Dragon Slayer Shovel","XDMG","M","Rare","No","706.88","706 gp","Algorithm","True"
"Dragon Slayer Sickle","XDMG","M|XPHB","Rare","No","701.33","701 gp","Algorithm","True"
"Dragon Slayer Sling","XDMG","R|XPHB","Rare","No","706.88","706 gp","Algorithm","True"
"Dragon Slayer Sniper Rifle","XDMG","R|XPHB","Rare","No","766.79","766 gp","Algorithm","True"
"Dragon Slayer Spear","XDMG","M|XPHB","Rare","No","704.58","704 gp","Algorithm","True"
"Dragon Slayer Staff","XDMG","SCF|XPHB","Rare","No","725.0","725 gp","Algorithm","True"
"Dragon Slayer Submachine Gun","XDMG","R|XPHB","Rare","No","728.24","728 gp","Algorithm","True"
"Dragon Slayer Sword","XDMG","M","Rare","No","701.33","701 gp","Amalgamated (MSRP,DMPG)","True"
"Dragon Slayer Tapper Sack","XDMG","M","Rare","No","708.66","708 gp","Algorithm","True"
"Dragon Slayer Trident","XDMG","M|XPHB","Rare","No","725.0","725 gp","Algorithm","True"
"Dragon Slayer Umbrella","XDMG","M","Rare","No","701.33","701 gp","Algorithm","True"
"Dragon Slayer Vaulter's Axe","XDMG","M","Rare","No","735.57","735 gp","Algorithm","True"
"Dragon Slayer Vertebrae Sword","XDMG","M","Rare","No","713.92","713 gp","Algorithm","True"
"Dragon Slayer War Pick","XDMG","M|XPHB","Rare","No","719.46","719 gp","Algorithm","True"
"Dragon Slayer Warhammer","XDMG","M|XPHB","Rare","No","726.78","726 gp","Algorithm","True"
"Dragon Slayer Whip","XDMG","M|XPHB","Rare","No","704.58","704 gp","Algorithm","True"
"Dragon Slayer Wooden Staff","XDMG","SCF|XPHB","Rare","No","725.0","725 gp","Algorithm","True"
"Dragon Slayer Yklwa","XDMG","M","Rare","No","722.7","722 gp","Algorithm","True"
"Dragon Thighbone Club","SKT","M","Unknown Magic","class","462.69","462 gp","Algorithm","False"
"Dragon Wing Bow","FTD","GV|DMG","Rare","open","3070.25","3,070 gp","Algorithm","False"
"Dragon Wing Longbow","FTD","R|XPHB","Rare","open","3735.0","3,735 gp","Algorithm","True"
"Dragon Wing Shortbow","FTD","R|XPHB","Rare","open","3465.0","3,465 gp","Algorithm","True"
"Dragonbreath Arrow","GriffonsSaddlebag2","A|XPHB","Rare","No","200.0","200 gp","Algorithm","True"
"Dragongleam","HotDQ","M","Unknown Magic","No","939.0","939 gp","Algorithm","False"
"Dragonguard","PaBTSO","MA","Rare","No","4480.78","4,480 gp","Algorithm","False"
"Dragonlance","FTD","GV|DMG","Legendary","open","16501.5","16,501 gp","Algorithm","False"
"Dragonlance Lance","FTD","M|XPHB","Legendary","open","12818.31","12,818 gp","Algorithm","True"
"Dragonlance Pike","FTD","M|XPHB","Legendary","open","13827.44","13,827 gp","Algorithm","True"
"Dragonstaff of Ahghairon","WDH","","Legendary","open","46768.59","46,768 gp","Single source (DMPG)","True"
"Dragontooth Dagger","RoT","M","Rare","No","4064.53","4,064 gp","Single source (DMPG)","True"
"Dread Helm","WttHC","","Common","No","155.15","155 gp","Amalgamated (DSA,MSRP,DMPG)","True"
"Dread Helm","XDMG","","Common","No","155.15","155 gp","Amalgamated (DSA,MSRP,DMPG)","True"
"Dried Leech","BMT","GV|DMG","Uncommon","No","67.68","67 gp","Algorithm","False"
"Dried Leech Arrow","BMT","A|XPHB","Uncommon","No","48.21","48 gp","Algorithm","True"
"Dried Leech Bellows Cannister","BMT","A|XPHB","Uncommon","No","50.47","50 gp","Algorithm","True"
"Dried Leech Bolt","BMT","A|XPHB","Uncommon","No","48.87","48 gp","Algorithm","True"
"Dried Leech Bullet","BMT","A|XPHB","Uncommon","No","50.0","50 gp","Algorithm","True"
"Dried Leech Cannonball","BMT","A|XPHB","Uncommon","No","54.22","54 gp","Algorithm","True"
"Dried Leech Dragon Shot","BMT","A|XPHB","Uncommon","No","49.34","49 gp","Algorithm","True"
"Dried Leech Firearm Bullet","BMT","A|XPHB","Uncommon","No","50.47","50 gp","Algorithm","True"
"Dried Leech Flare","BMT","A|XPHB","Uncommon","No","53.09","53 gp","Algorithm","True"
"Dried Leech Needle","BMT","A|XPHB","Uncommon","No","46.72","46 gp","Algorithm","True"
"Dried Leech Paper Cartridge Bullet","BMT","A|XPHB","Uncommon","No","49.34","49 gp","Algorithm","True"
"Dried Leech Shell","BMT","A|XPHB","Uncommon","No","50.0","50 gp","Algorithm","True"
"Dried Leech Shot","BMT","A|XPHB","Uncommon","No","50.47","50 gp","Algorithm","True"
"Dried Leech Sling Bullet","BMT","A|XPHB","Uncommon","No","48.87","48 gp","Algorithm","True"
"Driftglobe","XDMG","","Uncommon","No","429.28","429 gp","Amalgamated (MSRP,DMPG)","True"
"Drive Shaft of Certain Death","EGW","M","Rare","No","4276.87","4,276 gp","Algorithm","True"
"Drive Shaft of Throne's Command","BMT","M","Very Rare","open","16888.52","16,888 gp","Algorithm","True"
"Drive Shaft of Warning","XDMG","M","Uncommon","open","720.73","720 gp","Algorithm","True"
"Drow +1 Arbalest","MM","R|XPHB","Rare","No","757.06","757 gp","Amalgamated (DSA,MSRP,DMPG)","True"
"Drow +1 Armor","MM","GV|DMG","Rare","No","3650.28","3,650 gp","Algorithm","False"
"Drow +1 Assault Rifle","MM","R|XPHB","Rare","No","748.67","748 gp","Amalgamated (DSA,MSRP,DMPG)","True"
"Drow +1 Axe","MM","M","Rare","No","705.64","705 gp","Amalgamated (DSA,MSRP,DMPG)","True"
"Drow +1 Battle Axe","MM","M","Rare","No","726.07","726 gp","Amalgamated (DSA,MSRP,DMPG)","True"
"Drow +1 Battleaxe","MM","M|XPHB","Rare","No","726.07","726 gp","Amalgamated (DSA,MSRP,DMPG)","True"
"Drow +1 Bellow Flute","MM","M","Rare","No","696.86","696 gp","Amalgamated (DSA,MSRP,DMPG)","True"
"Drow +1 Blackpowder Pistol","MM","R|XPHB","Rare","No","726.07","726 gp","Amalgamated (DSA,MSRP,DMPG)","True"
"Drow +1 Blackpowder Rifle","MM","R|XPHB","Rare","No","751.52","751 gp","Amalgamated (DSA,MSRP,DMPG)","True"
"Drow +1 Blowgun","MM","R|XPHB","Rare","No","714.99","714 gp","Amalgamated (DSA,MSRP,DMPG)","True"
"Drow +1 Blunderbuss","MM","R|XPHB","Rare","No","754.76","754 gp","Amalgamated (DSA,MSRP,DMPG)","True"
"Drow +1 Blunderbuss, Hand","MM","R|XPHB","Rare","No","726.07","726 gp","Amalgamated (DSA,MSRP,DMPG)","True"
"Drow +1 Boat Oar","MM","M","Rare","No","731.61","731 gp","Amalgamated (DSA,MSRP,DMPG)","True"
"Drow +1 Boomerang","MM","M","Rare","No","696.86","696 gp","Amalgamated (DSA,MSRP,DMPG)","True"
"Drow +1 Brass Knuckles","MM","M|XPHB","Rare","No","696.86","696 gp","Amalgamated (DSA,MSRP,DMPG)","True"
"Drow +1 Breastplate","MM","MA|XPHB","Rare","No","5500.0","5,500 gp","Algorithm","True"
"Drow +1 Butterfly Staff","MM","M","Rare","No","696.86","696 gp","Amalgamated (DSA,MSRP,DMPG)","True"
"Drow +1 Candlemaker's Club","MM","M","Rare","No","751.52","751 gp","Amalgamated (DSA,MSRP,DMPG)","True"
"Drow +1 Cannon","MM","R|XPHB","Rare","No","794.53","794 gp","Amalgamated (DSA,MSRP,DMPG)","True"
"Drow +1 Catchpole","MM","M|XPHB","Rare","No","709.73","709 gp","Amalgamated (DSA,MSRP,DMPG)","True"
"Drow +1 Cavalry Flail","MM","M|XPHB","Rare","No","723.77","723 gp","Amalgamated (DSA,MSRP,DMPG)","True"
"Drow +1 Cavalry Hammer","MM","M|XPHB","Rare","No","723.77","723 gp","Amalgamated (DSA,MSRP,DMPG)","True"
"Drow +1 Cavalry Pick","MM","M|XPHB","Rare","No","723.77","723 gp","Amalgamated (DSA,MSRP,DMPG)","True"
"Drow +1 Chain Mail","MM","HA|XPHB","Rare","No","5935.71","5,935 gp","Algorithm","True"
"Drow +1 Chain Shirt","MM","MA|XPHB","Rare","No","5382.14","5,382 gp","Algorithm","True"
"Drow +1 Chakram","MM","M|XPHB","Rare","No","696.86","696 gp","Amalgamated (DSA,MSRP,DMPG)","True"
"Drow +1 Claymore","MM","M|XPHB","Rare","No","748.67","748 gp","Amalgamated (DSA,MSRP,DMPG)","True"
"Drow +1 Club","MM","M|XPHB","Rare","No","702.4","702 gp","Amalgamated (DSA,MSRP,DMPG)","True"
"Drow +1 Composite Longbow","MM","R|XPHB","Rare","No","720.53","720 gp","Amalgamated (DSA,MSRP,DMPG)","True"
"Drow +1 Composite Shortbow","MM","R|XPHB","Rare","No","702.4","702 gp","Amalgamated (DSA,MSRP,DMPG)","True"
"Drow +1 Dagger","MM","M|XPHB","Rare","No","696.86","696 gp","Amalgamated (DSA,MSRP,DMPG)","True"
"Drow +1 Dandelion Spear","MM","M","Rare","No","729.31","729 gp","Amalgamated (DSA,MSRP,DMPG)","True"
"Drow +1 Dart","MM","R|XPHB","Rare","No","685.78","685 gp","Amalgamated (DSA,MSRP,DMPG)","True"
"Drow +1 Double Blade","MM","M|XPHB","Rare","No","709.73","709 gp","Amalgamated (DSA,MSRP,DMPG)","True"
"Drow +1 Double Spear","MM","M|XPHB","Rare","No","707.94","707 gp","Amalgamated (DSA,MSRP,DMPG)","True"
"Drow +1 Double-Barrel Shotgun","MM","R|XPHB","Rare","No","749.73","749 gp","Amalgamated (DSA,MSRP,DMPG)","True"
"Drow +1 Double-Bladed Scimitar","MM","M","Rare","No","729.31","729 gp","Amalgamated (DSA,MSRP,DMPG)","True"
"Drow +1 Dragon Pistol","MM","R|XPHB","Rare","No","726.07","726 gp","Amalgamated (DSA,MSRP,DMPG)","True"
"Drow +1 Dragon Rifle","MM","R|XPHB","Rare","No","744.19","744 gp","Amalgamated (DSA,MSRP,DMPG)","True"
"Drow +1 Drive Shaft","MM","M","Rare","No","775.18","775 gp","Amalgamated (DSA,MSRP,DMPG)","True"
"Drow +1 Elite Rapier","MM","M|XPHB","Rare","No","720.53","720 gp","Amalgamated (DSA,MSRP,DMPG)","True"
"Drow +1 Fan","MM","M","Rare","No","696.86","696 gp","Amalgamated (DSA,MSRP,DMPG)","True"
"Drow +1 Field Spear","MM","M","Rare","No","696.86","696 gp","Amalgamated (DSA,MSRP,DMPG)","True"
"Drow +1 Fighting Chain","MM","M|XPHB","Rare","No","705.64","705 gp","Amalgamated (DSA,MSRP,DMPG)","True"
"Drow +1 Fighting Chain, Brutal","MM","M|XPHB","Rare","No","711.18","711 gp","Amalgamated (DSA,MSRP,DMPG)","True"
"Drow +1 Fighting Chain, Hook","MM","M|XPHB","Rare","No","705.64","705 gp","Amalgamated (DSA,MSRP,DMPG)","True"
"Drow +1 Fighting Chain, Sickle","MM","M|XPHB","Rare","No","705.64","705 gp","Amalgamated (DSA,MSRP,DMPG)","True"
"Drow +1 Flail","MM","M|XPHB","Rare","No","720.53","720 gp","Amalgamated (DSA,MSRP,DMPG)","True"
"Drow +1 Flame Bellows","MM","R|XPHB","Rare","No","752.28","752 gp","Amalgamated (DSA,MSRP,DMPG)","True"
"Drow +1 Flare Gun","MM","R|XPHB","Rare","No","733.11","733 gp","Amalgamated (DSA,MSRP,DMPG)","True"
"Drow +1 Frying Pan","MM","M","Rare","No","711.18","711 gp","Amalgamated (DSA,MSRP,DMPG)","True"
"Drow +1 Gatling Gun","MM","R|XPHB","Rare","No","771.71","771 gp","Amalgamated (DSA,MSRP,DMPG)","True"
"Drow +1 Gladiator Net","MM","M|XPHB","Rare","No","709.73","709 gp","Amalgamated (DSA,MSRP,DMPG)","True"
"Drow +1 Glaive","MM","M|XPHB","Rare","No","729.31","729 gp","Amalgamated (DSA,MSRP,DMPG)","True"
"Drow +1 Greataxe","MM","M|XPHB","Rare","No","748.67","748 gp","Amalgamated (DSA,MSRP,DMPG)","True"
"Drow +1 Greatclub","MM","M|XPHB","Rare","No","733.39","733 gp","Amalgamated (DSA,MSRP,DMPG)","True"
"Drow +1 Greatsword","MM","M|XPHB","Rare","No","747.43","747 gp","Amalgamated (DSA,MSRP,DMPG)","True"
"Drow +1 Guardian Poleaxe","MM","M|XPHB","Rare","No","732.55","732 gp","Amalgamated (DSA,MSRP,DMPG)","True"
"Drow +1 Halberd","MM","M|XPHB","Rare","No","729.31","729 gp","Amalgamated (DSA,MSRP,DMPG)","True"
"Drow +1 Half Plate Armor","MM","MA|XPHB","Rare","No","5817.86","5,817 gp","Algorithm","True"
"Drow +1 Hammer","MM","M","Rare","No","705.64","705 gp","Amalgamated (DSA,MSRP,DMPG)","True"
"Drow +1 Hand Claws","MM","M|XPHB","Rare","No","702.4","702 gp","Amalgamated (DSA,MSRP,DMPG)","True"
"Drow +1 Hand Crossbow","MM","R|XPHB","Rare","No","705.64","705 gp","Amalgamated (DSA,MSRP,DMPG)","True"
"Drow +1 Handaxe","MM","M|XPHB","Rare","No","702.4","702 gp","Amalgamated (DSA,MSRP,DMPG)","True"
"Drow +1 Handgun","MM","R|XPHB","Rare","No","723.77","723 gp","Amalgamated (DSA,MSRP,DMPG)","True"
"Drow +1 Heavy Crossbow","MM","R|XPHB","Rare","No","738.09","738 gp","Amalgamated (DSA,MSRP,DMPG)","True"
"Drow +1 Heavy Hammer","MM","M","Rare","No","726.07","726 gp","Amalgamated (DSA,MSRP,DMPG)","True"
"Drow +1 Hide Armor","MM","MA|XPHB","Rare","No","5264.29","5,264 gp","Algorithm","True"
"Drow +1 Hooked Shortspear","MM","M","Rare","No","702.4","702 gp","Amalgamated (DSA,MSRP,DMPG)","True"
"Drow +1 Hoopak","MM","M","Rare","No","702.4","702 gp","Amalgamated (DSA,MSRP,DMPG)","True"
"Drow +1 Iron Tea Kettle","MM","M","Rare","No","720.53","720 gp","Amalgamated (DSA,MSRP,DMPG)","True"
"Drow +1 Javelin","MM","M|XPHB","Rare","No","702.4","702 gp","Amalgamated (DSA,MSRP,DMPG)","True"
"Drow +1 Knightly Lance","MM","M|XPHB","Rare","No","747.43","747 gp","Amalgamated (DSA,MSRP,DMPG)","True"
"Drow +1 Knightly Sword","MM","M|XPHB","Rare","No","723.77","723 gp","Amalgamated (DSA,MSRP,DMPG)","True"
"Drow +1 Lance","MM","M|XPHB","Rare","No","729.31","729 gp","Amalgamated (DSA,MSRP,DMPG)","True"
"Drow +1 Leather Armor","MM","LA|XPHB","Rare","No","5146.43","5,146 gp","Algorithm","True"
"Drow +1 Leather Corslet","MM","LA","Rare","No","5264.29","5,264 gp","Algorithm","True"
"Drow +1 Leather Shirt","MM","LA","Rare","No","5146.43","5,146 gp","Algorithm","True"
"Drow +1 Light Crossbow","MM","R|XPHB","Rare","No","727.85","727 gp","Amalgamated (DSA,MSRP,DMPG)","True"
"Drow +1 Light Hammer","MM","M|XPHB","Rare","No","702.4","702 gp","Amalgamated (DSA,MSRP,DMPG)","True"
"Drow +1 Light Repeating Crossbow","MM","R","Rare","No","727.85","727 gp","Amalgamated (DSA,MSRP,DMPG)","True"
"Drow +1 Lom Lom Dagger","MM","M","Rare","No","696.86","696 gp","Amalgamated (DSA,MSRP,DMPG)","True"
"Drow +1 Long Sword","MM","M","Rare","No","723.77","723 gp","Amalgamated (DSA,MSRP,DMPG)","True"
"Drow +1 Longbow","MM","R|XPHB","Rare","No","720.53","720 gp","Amalgamated (DSA,MSRP,DMPG)","True"
"Drow +1 Longsword","MM","M|XPHB","Rare","No","723.77","723 gp","Amalgamated (DSA,MSRP,DMPG)","True"
"Drow +1 Mace","MM","M|XPHB","Rare","No","707.94","707 gp","Amalgamated (DSA,MSRP,DMPG)","True"
"Drow +1 Magnum","MM","R|XPHB","Rare","No","765.56","765 gp","Amalgamated (DSA,MSRP,DMPG)","True"
